id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;besaran_upah_minimum;satuan;tahun
118;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;2009000;RUPIAH;2021
119;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;3241929,67;RUPIAH;2021
120;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;2373073,46;RUPIAH;2021
121;32;JAWA BARAT;3213;KABUPATEN SUBANG;3064218,08;RUPIAH;2021
122;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;4173568,61;RUPIAH;2021
123;32;JAWA BARAT;3215;KABUPATEN KARAWANG;4798312;RUPIAH;2021
124;32;JAWA BARAT;3216;KABUPATEN BEKASI;4791843,9;RUPIAH;2021
125;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;3248283,28;RUPIAH;2021
126;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;1860591,33;RUPIAH;2021
127;32;JAWA BARAT;3271;KOTA BOGOR;4169806,58;RUPIAH;2021
128;32;JAWA BARAT;3272;KOTA SUKABUMI;2530182,63;RUPIAH;2021
129;32;JAWA BARAT;3273;KOTA BANDUNG;3742276,48;RUPIAH;2021
130;32;JAWA BARAT;3274;KOTA CIREBON;2271201,73;RUPIAH;2021
131;32;JAWA BARAT;3275;KOTA BEKASI;4782935,64;RUPIAH;2021
132;32;JAWA BARAT;3276;KOTA DEPOK;4339514,73;RUPIAH;2021
133;32;JAWA BARAT;3277;KOTA CIMAHI;3241929;RUPIAH;2021
134;32;JAWA BARAT;3278;KOTA TASIKMALAYA;2264093,28;RUPIAH;2021
135;32;JAWA BARAT;3279;KOTA BANJAR;1831884,83;RUPIAH;2021
136;32;JAWA BARAT;3201;KABUPATEN BOGOR;4217206;RUPIAH;2022
137;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;3125444,72;RUPIAH;2022
138;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2699814,4;RUPIAH;2022
139;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3241929,67;RUPIAH;2022
140;32;JAWA BARAT;3205;KABUPATEN GARUT;1975220,92;RUPIAH;2022
141;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;2326772,46;RUPIAH;2022
142;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1897867,14;RUPIAH;2022
143;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1908102,17;RUPIAH;2022
144;32;JAWA BARAT;3209;KABUPATEN CIREBON;2279982,77;RUPIAH;2022
145;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;2027619,04;RUPIAH;2022
146;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;3241929,67;RUPIAH;2022
147;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;2391567,15;RUPIAH;2022
148;32;JAWA BARAT;3213;KABUPATEN SUBANG;3064218;RUPIAH;2022
149;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;4173568,61;RUPIAH;2022
150;32;JAWA BARAT;3215;KABUPATEN KARAWANG;4798312;RUPIAH;2022
151;32;JAWA BARAT;3216;KABUPATEN BEKASI;4791843,9;RUPIAH;2022
152;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;3248283,28;RUPIAH;2022
153;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;1884364,08;RUPIAH;2022
154;32;JAWA BARAT;3271;KOTA BOGOR;4330249,57;RUPIAH;2022
155;32;JAWA BARAT;3272;KOTA SUKABUMI;2562434,01;RUPIAH;2022
156;32;JAWA BARAT;3273;KOTA BANDUNG;3774860,78;RUPIAH;2022
157;32;JAWA BARAT;3274;KOTA CIREBON;2304943,51;RUPIAH;2022
158;32;JAWA BARAT;3275;KOTA BEKASI;4816921,17;RUPIAH;2022
159;32;JAWA BARAT;3276;KOTA DEPOK;4377231,93;RUPIAH;2022
160;32;JAWA BARAT;3277;KOTA CIMAHI;3272668,5;RUPIAH;2022
161;32;JAWA BARAT;3278;KOTA TASIKMALAYA;2363389,67;RUPIAH;2022
162;32;JAWA BARAT;3279;KOTA BANJAR;1852099,52;RUPIAH;2022
163;32;JAWA BARAT;3201;KABUPATEN BOGOR;4520212,25;RUPIAH;2023
164;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;3351883,19;RUPIAH;2023
165;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2893229,1;RUPIAH;2023
166;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3492465,99;RUPIAH;2023
167;32;JAWA BARAT;3205;KABUPATEN GARUT;2117318,31;RUPIAH;2023
168;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;2499954,13;RUPIAH;2023
169;32;JAWA BARAT;3207;KABUPATEN CIAMIS;2021657,42;RUPIAH;2023
170;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;2010734,3;RUPIAH;2023
171;32;JAWA BARAT;3209;KABUPATEN CIREBON;2430780,83;RUPIAH;2023
172;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;2180602,9;RUPIAH;2023
173;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;3471134,1;RUPIAH;2023
174;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;2541996,72;RUPIAH;2023
175;32;JAWA BARAT;3213;KABUPATEN SUBANG;3273810,6;RUPIAH;2023
176;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;4464675,02;RUPIAH;2023
177;32;JAWA BARAT;3215;KABUPATEN KARAWANG;5176179,07;RUPIAH;2023
178;32;JAWA BARAT;3216;KABUPATEN BEKASI;5137575,44;RUPIAH;2023
179;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;3480795,4;RUPIAH;2023
180;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;2018389;RUPIAH;2023
181;32;JAWA BARAT;3271;KOTA BOGOR;4639429,39;RUPIAH;2023
182;32;JAWA BARAT;3272;KOTA SUKABUMI;2893229,1;RUPIAH;2023
183;32;JAWA BARAT;3273;KOTA BANDUNG;4048462,69;RUPIAH;2023
184;32;JAWA BARAT;3274;KOTA CIREBON;2456516,6;RUPIAH;2023
185;32;JAWA BARAT;3275;KOTA BEKASI;5158248,2;RUPIAH;2023
186;32;JAWA BARAT;3276;KOTA DEPOK;4694493,7;RUPIAH;2023
187;32;JAWA BARAT;3277;KOTA CIMAHI;3514093,25;RUPIAH;2023
188;32;JAWA BARAT;3278;KOTA TASIKMALAYA;2533341,02;RUPIAH;2023
189;32;JAWA BARAT;3279;KOTA BANJAR;1998119,05;RUPIAH;2023
190;32;JAWA BARAT;3201;KABUPATEN BOGOR;4579541;RUPIAH;2024
191;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;3384491;RUPIAH;2024
192;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2915102;RUPIAH;2024
193;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3527967;RUPIAH;2024
194;32;JAWA BARAT;3205;KABUPATEN GARUT;2186437;RUPIAH;2024
195;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;2535204;RUPIAH;2024
196;32;JAWA BARAT;3207;KABUPATEN CIAMIS;2089464;RUPIAH;2024
197;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;2074666;RUPIAH;2024
198;32;JAWA BARAT;3209;KABUPATEN CIREBON;2517730;RUPIAH;2024
199;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;2257871;RUPIAH;2024
200;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;3504308;RUPIAH;2024
201;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;2623697;RUPIAH;2024
202;32;JAWA BARAT;3213;KABUPATEN SUBANG;3294485;RUPIAH;2024
203;32;JAWA BARAT;3214;KABUPATEN PURWAKARTA;4499768;RUPIAH;2024
204;32;JAWA BARAT;3215;KABUPATEN KARAWANG;5257834;RUPIAH;2024
205;32;JAWA BARAT;3216;KABUPATEN BEKASI;5219263;RUPIAH;2024
206;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;3508677;RUPIAH;2024
207;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;2086126;RUPIAH;2024
208;32;JAWA BARAT;3271;KOTA BOGOR;4813988;RUPIAH;2024
209;32;JAWA BARAT;3272;KOTA SUKABUMI;2834399;RUPIAH;2024
210;32;JAWA BARAT;3273;KOTA BANDUNG;4209309;RUPIAH;2024
211;32;JAWA BARAT;3274;KOTA CIREBON;2533038;RUPIAH;2024
212;32;JAWA BARAT;3275;KOTA BEKASI;5343430;RUPIAH;2024
213;32;JAWA BARAT;3276;KOTA DEPOK;4878612;RUPIAH;2024
214;32;JAWA BARAT;3277;KOTA CIMAHI;3627880;RUPIAH;2024
215;32;JAWA BARAT;3278;KOTA TASIKMALAYA;2630951;RUPIAH;2024
216;32;JAWA BARAT;3279;KOTA BANJAR;2070192;RUPIAH;2024
